zip,county_fips,county_name,state_fips,cbsa_code,cbsa_title,cbsa_type,rural_flag
99557,02050,Bethel Census Area,02,,Rural / Nonmetro,Nonmetro,True
99576,02070,Dillingham Census Area,02,,Rural / Nonmetro,Nonmetro,True
99566,02066,Copper River Census Area,02,,Rural / Nonmetro,Nonmetro,True
99740,02290,Yukon-Koyukuk Census Area,02,,Rural / Nonmetro,Nonmetro,True
99768,02290,Yukon-Koyukuk Census Area,02,,Rural / Nonmetro,Nonmetro,True
99627,02290,Yukon-Koyukuk Census Area,02,,Rural / Nonmetro,Nonmetro,True
99730,02290,Yukon-Koyukuk Census Area,02,,Rural / Nonmetro,Nonmetro,True
99738,02240,Southeast Fairbanks Census Area,02,,Rural / Nonmetro,Nonmetro,True
99635,02122,Kenai Peninsula Borough,02,,Rural / Nonmetro,Nonmetro,True
99667,02170,Matanuska-Susitna Borough,02,11260,"Anchorage, AK",Metropolitan Statistical Area,False
99780,02240,Southeast Fairbanks Census Area,02,,Rural / Nonmetro,Nonmetro,True
99691,02290,Yukon-Koyukuk Census Area,02,,Rural / Nonmetro,Nonmetro,True
99737,02240,Southeast Fairbanks Census Area,02,,Rural / Nonmetro,Nonmetro,True
99615,02150,Kodiak Island Borough,02,,Rural / Nonmetro,Nonmetro,True
99772,02180,Nome Census Area,02,,Rural / Nonmetro,Nonmetro,True
99752,02188,Northwest Arctic Borough,02,,Rural / Nonmetro,Nonmetro,True
99573,02066,Copper River Census Area,02,,Rural / Nonmetro,Nonmetro,True
97910,41045,Malheur County,41,36620,"Ontario, OR-ID",Micropolitan Statistical Area,True
99574,02063,Chugach Census Area,02,,Rural / Nonmetro,Nonmetro,True
99712,02090,Fairbanks North Star Borough,02,21820,"Fairbanks-College, AK",Metropolitan Statistical Area,False
99743,02068,Denali Borough,02,,Rural / Nonmetro,Nonmetro,True
99739,02180,Nome Census Area,02,,Rural / Nonmetro,Nonmetro,True
89412,32031,Washoe County,32,39900,"Reno, NV",Metropolitan Statistical Area,False
85634,04019,Pima County,04,46060,"Tucson, AZ",Metropolitan Statistical Area,False
82414,56029,Park County,56,17650,"Cody, WY",Micropolitan Statistical Area,True
99664,02122,Kenai Peninsula Borough,02,,Rural / Nonmetro,Nonmetro,True
99640,02164,Lake and Peninsula Borough,02,,Rural / Nonmetro,Nonmetro,True
99760,02290,Yukon-Koyukuk Census Area,02,,Rural / Nonmetro,Nonmetro,True
99729,02170,Matanuska-Susitna Borough,02,11260,"Anchorage, AK",Metropolitan Statistical Area,False
88030,35029,Luna County,35,19700,"Deming, NM",Micropolitan Statistical Area,True
99835,02220,Sitka City and Borough,02,,Rural / Nonmetro,Nonmetro,True
82633,56009,Converse County,56,,Rural / Nonmetro,Nonmetro,True
59538,30071,Phillips County,30,,Rural / Nonmetro,Nonmetro,True
89049,32023,Nye County,32,37220,"Pahrump, NV",Micropolitan Statistical Area,True
99929,02275,Wrangell City and Borough,02,,Rural / Nonmetro,Nonmetro,True
99781,02290,Yukon-Koyukuk Census Area,02,,Rural / Nonmetro,Nonmetro,True
59301,30017,Custer County,30,,Rural / Nonmetro,Nonmetro,True
88201,35005,Chaves County,35,40740,"Roswell, NM",Micropolitan Statistical Area,True
99921,02198,Prince of Wales-Hyder Census Area,02,,Rural / Nonmetro,Nonmetro,True
81640,08081,Moffat County,08,44460,"Steamboat Springs, CO",Micropolitan Statistical Area,True
