ccn,rpt_rec_num,fy_end,total_salaries,total_paid_hours,total_avg_hourly_wage,contract_labor_dollars,contract_labor_hours,contract_labor_hourly_rate,source_confidence
230118,787853,01/29/2021,5166373.0,149472.7,34.56,490611.0,5284.58,92.84,0.92
490001,816398,02/27/2021,9054245.0,260862.1,30.04,264983.0,2626.56,100.89,0.92
040152,793790,07/31/2021,3856618.0,119563.0,32.26,511043.0,6958.0,73.45,0.92
050742,750352,08/09/2021,7151382.0,278453.0,25.68,970225.0,10079.0,96.26,0.92
030068,786114,09/27/2021,23077705.0,622538.29,37.07,1436468.0,14853.23,96.71,0.92
390192,751518,09/30/2021,1190362.0,45020.0,26.44,282328.0,3354.0,84.18,0.92
340186,816728,09/30/2021,27515203.0,929746.0,29.59,3308546.0,40261.0,82.18,0.92
010038,819967,09/30/2021,14948013.0,525699.0,28.43,1258967.0,13002.0,96.83,0.92
050849,807796,12/31/2021,15200573.0,214.7,70799.13,2866178.0,15566.56,184.12,0.92
390220,793890,12/31/2021,8686126.0,196424.85,44.22,304626.0,4835.0,63.0,0.92
713027,724513,12/31/2021,951052.0,34315.0,27.72,288666.0,5323.0,54.23,0.92
360192,792904,01/31/2022,51408146.0,1626991.0,31.6,712317.0,20113.19,35.42,0.92
390076,777371,01/31/2022,21960885.0,525715.24,41.77,4259598.0,31014.24,137.34,0.92
380040,792433,02/14/2022,35442633.0,658480.92,53.82,3859344.0,35894.78,107.52,0.92
360262,787752,02/28/2022,6661231.0,168958.18,39.43,956013.0,5942.0,160.89,0.92
360081,829012,02/28/2022,8425809.0,232665.08,36.21,1761307.0,10020.0,175.78,0.92
173027,792832,03/04/2022,10770724.0,314900.45,34.2,503085.0,6493.61,77.47,0.92
520027,791193,03/31/2022,40058398.0,847660.0,47.26,1952232.0,13942.98,140.02,0.92
450187,825455,04/20/2022,4302058.0,97294.78,43.43,825573.0,5392.0,153.11,0.92
140058,823265,04/25/2022,22295358.0,721001.2,30.92,6187649.0,37980.25,162.92,0.92
240063,826186,06/30/2022,12164765.0,350417.6,34.72,451103.0,4442.0,101.55,0.92
370229,832208,06/30/2022,1314371.0,39828.0,33.0,126927.0,1910.0,66.45,0.92
040163,787404,07/13/2022,7157805.0,240719.42,29.74,4500.0,36.0,125.0,0.92
430013,814899,07/20/2022,49469738.0,1128931.29,43.85,2634391.0,18638.33,141.34,0.92
240059,799380,07/31/2022,11808341.0,274682.47,43.58,4105985.0,30044.57,136.66,0.92
292002,769963,08/31/2022,27426190.0,757120.88,36.22,4102291.0,58246.0,70.43,0.92
392027,774187,08/31/2022,24862776.0,564450.26,44.59,4579820.0,42955.0,106.62,0.92
442007,774443,08/31/2022,6894740.0,182913.21,37.69,2585899.0,27137.0,95.29,0.92
052050,771643,08/31/2022,15300716.0,346167.9,44.2,4171038.0,53212.0,78.39,0.92
052052,768608,08/31/2022,11380597.0,268361.53,42.41,2965384.0,33953.0,87.34,0.92
322002,741623,08/31/2022,13405541.0,309772.31,40.15,5585775.0,46302.0,120.64,0.92
052046,767020,08/31/2022,30584960.0,682680.48,44.8,4183515.0,49189.0,85.05,0.92
052045,773930,08/31/2022,23698000.0,510209.19,46.45,4073903.0,57112.0,71.33,0.92
262010,770574,08/31/2022,13865848.0,338259.39,40.99,5564487.0,55613.0,100.06,0.92
052039,768258,08/31/2022,19032653.0,478941.19,39.74,2245929.0,30826.0,72.86,0.92
052038,774826,08/31/2022,46446082.0,1077340.72,43.11,4469468.0,51276.0,87.16,0.92
052049,772421,08/31/2022,15453092.0,362024.94,42.68,5272756.0,40839.0,129.11,0.92
262018,774285,08/31/2022,8505216.0,232954.5,36.51,3565248.0,35572.0,100.23,0.92
312020,766476,08/31/2022,21499608.0,467624.6,45.98,4406415.0,41712.0,105.64,0.92
502002,768459,08/31/2022,17551344.0,357535.36,49.09,7577049.0,69554.0,108.94,0.92
142006,766653,08/31/2022,7058043.0,191143.72,36.93,4415947.0,41843.0,105.54,0.92
142013,771273,08/31/2022,4252503.0,110201.13,38.59,5599925.0,54584.0,102.59,0.92
142009,770030,08/31/2022,9482708.0,243665.35,38.92,4034582.0,36037.0,111.96,0.92
142008,768506,08/31/2022,28254776.0,723553.22,39.05,13063978.0,117432.09,111.25,0.92
102027,766043,08/31/2022,12104027.0,348525.74,35.83,1497349.0,18120.0,82.64,0.92
052037,773800,08/31/2022,21269110.0,513842.74,41.39,5089587.0,53922.0,94.39,0.92
102010,768186,08/31/2022,41734508.0,1234980.56,34.14,6612251.0,79571.0,83.1,0.92
062009,769397,08/31/2022,11346779.0,274842.97,42.67,7634465.0,68028.0,112.23,0.92
062013,773349,08/31/2022,9891977.0,214525.3,46.11,2717152.0,20931.0,129.81,0.92
152007,764509,08/31/2022,6560558.0,166677.6,39.36,2784780.0,28399.0,98.06,0.92
152013,772647,08/31/2022,6984593.0,178515.42,39.13,3108436.0,30540.0,101.78,0.92
102025,771931,08/31/2022,13842181.0,379965.28,36.43,1802365.0,24025.0,75.02,0.92
102009,765063,08/31/2022,23898257.0,642309.69,37.97,8119872.0,104738.0,77.53,0.92
102013,771930,08/31/2022,17257259.0,465971.72,37.03,3936020.0,55178.0,71.33,0.92
102015,772754,08/31/2022,13790932.0,387099.07,36.46,2417069.0,29072.0,83.14,0.92
052036,766407,08/31/2022,19369695.0,385282.04,50.27,2415194.0,25311.0,95.42,0.92
052035,764244,08/31/2022,29112614.0,638535.15,45.59,4944110.0,57593.0,85.85,0.92
052034,769533,08/31/2022,30051253.0,531505.58,56.54,4843056.0,44598.0,108.59,0.92
052032,770008,08/31/2022,23756751.0,555752.75,42.75,2325822.0,28842.0,80.64,0.92
102019,735367,08/31/2022,2970015.0,80214.82,37.03,247908.0,2325.0,106.63,0.92
452073,773638,08/31/2022,8033041.0,198085.84,40.55,1564277.0,14691.0,106.48,0.92
362020,768719,08/31/2022,5520819.0,134775.55,40.96,2131671.0,19993.0,106.62,0.92
362033,769455,08/31/2022,9793786.0,271186.04,36.11,3243657.0,29468.0,110.07,0.92
452016,770937,08/31/2022,8257760.0,216796.83,38.09,2235755.0,22134.0,101.01,0.92
452108,766979,08/31/2022,11157414.0,283895.89,39.3,2774648.0,28973.0,95.77,0.92
452023,770071,08/31/2022,24131929.0,577085.46,42.51,4888866.0,57976.0,84.33,0.92
452028,771454,08/31/2022,27211102.0,707122.47,38.48,3856425.0,44199.0,87.25,0.92
452039,765151,08/31/2022,15366048.0,380009.96,40.44,2146681.0,27967.0,76.76,0.92
452075,769905,08/31/2022,13867313.0,343882.44,40.33,2702655.0,34055.0,79.36,0.92
342012,770918,08/31/2022,15487026.0,391169.29,39.59,6123014.0,48272.0,126.84,0.92
452080,768160,08/31/2022,15914598.0,386466.52,42.12,1420800.0,20294.0,70.01,0.92
182001,770036,08/31/2022,26726731.0,718549.95,37.2,11010416.0,106313.0,103.57,0.92
452079,767229,08/31/2022,9549326.0,282011.27,33.86,1619191.0,17627.0,91.86,0.92
231307,771982,09/30/2022,9673433.0,223122.0,43.35,594496.0,11564.0,51.41,0.92
330236,808441,09/30/2022,319070022.0,6156417.0,53.42,2425747.0,26224.0,92.5,0.92
110115,832095,09/30/2022,33776801.0,809188.0,41.74,1655320.0,20463.0,80.89,0.92
390119,832218,11/12/2022,14708737.0,372901.0,39.44,4609980.0,39318.0,117.25,0.92
360037,799410,11/15/2022,47949762.0,1334736.61,37.01,1604825.0,24149.4,66.45,0.92
310021,831913,12/20/2022,23296022.0,595115.0,38.13,5651965.0,55694.0,101.48,0.92
370029,828450,12/30/2022,5701309.0,163050.0,34.97,254696.0,2213.0,115.09,0.92
450099,828163,12/31/2022,15286720.0,393875.0,38.81,2155736.0,78311.0,27.53,0.92
190146,823444,12/31/2022,112390972.0,3185103.85,35.3,27541035.0,308263.0,89.34,0.92
450871,787051,12/31/2022,6846091.0,182466.84,37.52,310074.0,4585.94,67.61,0.92
260210,795236,12/31/2022,29795607.0,794888.15,37.48,4673774.0,38268.51,122.13,0.92
050096,788967,12/31/2022,8229097.0,253205.0,32.5,340323.0,4202.2,80.99,0.92
110153,816546,12/31/2022,11882059.0,442814.78,30.65,1176387.0,9811.0,119.9,0.92
450348,831104,02/07/2023,2257380.0,86350.0,25.64,252558.0,2326.34,108.56,0.92
670004,830502,02/23/2023,8315744.0,221232.0,37.59,1206826.0,10405.0,115.99,0.92
420068,811948,02/28/2023,39055138.0,1085788.85,35.9,2735838.0,28789.75,95.03,0.92
250012,769285,03/15/2023,833807.0,29952.57,27.84,77494.0,1624.95,47.69,0.92
313030,749926,03/30/2023,5284894.0,119864.0,44.09,8409.0,276.0,30.47,0.92
370139,762196,03/31/2023,1050838.0,26621.9,39.47,79012.0,845.18,93.49,0.92
390071,809557,04/02/2023,11211752.0,343315.57,29.28,650917.0,4892.0,133.06,0.92
450586,814991,04/05/2023,7746880.0,270256.57,28.66,34020.0,192.0,177.19,0.92
450697,751096,04/30/2023,30178795.0,773819.67,39.0,274500.0,1629.59,168.45,0.92
340144,822851,05/04/2023,3362492.0,81632.0,41.19,139077.0,1751.0,79.43,0.92
330163,816563,06/17/2023,8600179.0,258186.0,33.31,1536935.0,30739.0,50.0,0.92
500148,759615,06/30/2023,39704285.0,1099667.0,36.11,2147847.0,14668.0,146.43,0.92
370030,828688,06/30/2023,2518185.0,72596.1,34.69,8421.0,82.35,102.26,0.92
110189,827753,06/30/2023,4703799.0,127478.0,37.02,209982.0,2220.0,94.59,0.92
390157,831989,06/30/2023,29224392.0,737463.0,39.63,4817999.0,38060.0,126.59,0.92
190204,809268,06/30/2023,11293678.0,302253.0,35.2,2144006.0,14739.13,145.46,0.92
230096,823595,07/05/2023,6248070.0,201006.35,31.08,961235.0,11319.0,84.92,0.92
070039,772629,07/09/2023,20032881.0,642950.0,31.16,142117.0,576.0,246.73,0.92
320003,809426,07/09/2023,8736882.0,229926.0,38.0,2315058.0,26058.0,88.84,0.92
290022,823898,07/11/2023,12672661.0,255771.39,55.12,523803.0,3045.56,171.99,0.92
140167,828432,07/16/2023,11797105.0,400899.76,29.43,869301.0,4977.85,174.63,0.92
450085,763264,08/03/2023,7379653.0,263020.55,28.06,170160.0,703.77,241.78,0.92
140234,808015,08/10/2023,14487780.0,505061.73,28.69,2188208.0,15897.0,137.65,0.92
140143,814264,08/10/2023,32076913.0,889418.49,37.3,3264540.0,29938.61,109.04,0.92
140019,770293,08/17/2023,669897.0,17833.77,37.56,77812.0,843.42,92.26,0.92
450578,767119,08/17/2023,9057120.0,677411.65,13.37,135530.0,890.12,152.26,0.92
170150,816800,08/25/2023,6200948.0,222312.55,27.89,1523667.0,14962.0,101.84,0.92
040047,813837,08/31/2023,10870909.0,307384.89,35.37,1515.0,5.0,303.0,0.92
270032,828238,08/31/2023,39710290.0,1007273.0,39.42,781397.0,11166.71,69.98,0.92
320067,832118,08/31/2023,2952658.0,105184.0,28.07,33525.0,373.0,89.88,0.92
050350,809009,09/06/2023,44108873.0,1279243.0,34.48,3119358.0,25014.0,124.7,0.92
180106,829379,09/07/2023,2451581.0,80167.72,30.58,54893.0,647.45,84.78,0.92
370041,828689,09/07/2023,9468584.0,251980.0,37.58,75200.0,376.0,200.0,0.92
170166,766188,09/21/2023,2809545.0,98936.0,28.4,149834.0,2040.0,73.45,0.92
232039,808234,09/30/2023,4722649.0,186574.21,25.31,613107.0,12262.13,50.0,0.92
231317,798568,10/06/2023,4914491.0,135249.0,36.34,352338.0,3196.75,110.22,0.92
330245,768128,10/29/2023,89966400.0,2489535.0,36.14,21407230.0,175683.0,121.85,0.92
170145,820350,10/31/2023,17687227.0,488875.08,36.18,477091.0,6432.32,74.17,0.92
100106,768764,10/31/2023,4342728.0,153010.6,28.48,94259.0,2584.97,36.46,0.92
050724,787693,11/26/2023,23196162.0,609817.0,38.04,6053616.0,39670.0,152.6,0.92
670116,822447,11/30/2023,15083204.0,365660.04,41.25,33965.0,407.32,83.39,0.92
040085,815266,12/04/2023,4660258.0,115978.0,40.18,348583.0,3186.0,109.41,0.92
330223,831421,12/06/2023,27274174.0,630888.0,43.23,3023805.0,25962.0,116.47,0.92
050757,812374,12/10/2023,48258987.0,1061600.0,45.46,6770935.0,71888.0,94.19,0.92
380033,772693,12/14/2023,16352372.0,323759.0,50.51,1012786.0,10507.0,96.39,0.92
190081,831565,12/28/2023,12200110.0,397708.0,30.68,222788.0,6817.0,32.68,0.92
192034,779623,12/29/2023,789495.0,29300.0,26.95,81013.0,1056.0,76.72,0.92
194007,785441,12/31/2023,11764276.0,536267.88,21.94,1815054.0,24508.09,74.06,0.92
451339,822014,12/31/2023,2267858.0,122720.0,18.48,196199.0,2481.0,79.08,0.92
360055,820608,12/31/2023,46685985.0,1561233.47,33.14,1352554.0,13356.4,101.27,0.92
260047,776941,12/31/2023,52821448.0,1289701.5,41.02,2450312.0,22276.45,110.0,0.92
231304,819565,12/31/2023,12876412.0,425621.0,30.25,3445397.0,41520.0,82.98,0.92
010174,818136,12/31/2023,4814596.0,208732.01,23.07,7200.0,144.0,50.0,0.92
320089,776620,12/31/2023,20898326.0,592362.1,35.28,3526056.0,50201.08,70.24,0.92
170075,770748,12/31/2023,798648.0,21842.54,36.56,172764.0,2569.38,67.24,0.92
192023,782151,01/30/2024,3313448.0,118248.0,28.02,51475.0,637.0,80.81,0.92
440239,828728,01/31/2024,3896377.0,82970.84,46.96,1130129.0,14737.64,76.68,0.92
210006,832180,02/06/2024,25493470.0,544735.0,41.29,1116532.0,11906.0,93.78,0.92
523030,778760,02/24/2024,5729815.0,147728.39,38.79,168885.0,1799.87,93.83,0.92
100048,786932,02/29/2024,3109570.0,78966.83,39.38,191001.0,1936.04,98.66,0.92
150191,787713,02/29/2024,586945.0,17419.0,33.7,34146.0,721.22,47.34,0.92
340187,827870,03/01/2024,4566715.0,127889.39,36.95,60103.0,1237.8,48.56,0.92
460049,790814,03/14/2024,2186148.0,46959.59,45.29,18671.0,207.46,90.0,0.92
160005,823285,03/17/2024,28890257.0,804556.91,35.91,1282937.0,14970.02,85.7,0.92
520013,827889,03/21/2024,44133040.0,867449.11,50.88,4435228.0,61126.43,72.56,0.92
520017,827890,03/21/2024,14412618.0,260699.0,55.77,74400.0,746.25,99.7,0.92
490147,828756,03/31/2024,4154033.0,78895.96,52.65,1950893.0,22053.93,88.46,0.92
231308,827609,03/31/2024,6229953.0,155256.3,40.13,579340.0,5310.0,109.1,0.92
513025,796799,04/08/2024,2016070.0,90960.0,22.16,650113.0,9876.0,65.83,0.92
030131,794704,04/30/2024,4228781.0,106648.64,40.42,461616.0,8249.61,55.96,0.92
510031,832068,04/30/2024,8079631.0,237516.3,34.02,264304.0,4564.0,57.91,0.92
010110,813775,04/30/2024,2368460.0,91515.57,25.88,85775.0,1533.35,55.94,0.92
010069,794259,05/29/2024,3888753.0,138065.63,28.17,92037.0,1509.84,60.96,0.92
340073,827765,05/31/2024,173512927.0,3931825.88,44.13,1284540.0,16613.4,77.32,0.92
200019,790641,05/31/2024,107298808.0,1941118.0,55.27,14671199.0,143412.56,102.3,0.92
450271,810450,05/31/2024,24725687.0,590974.0,41.84,35875.0,608.41,58.97,0.92
360044,788795,06/12/2024,9965859.0,338856.0,33.01,1497029.0,19450.0,76.97,0.92
170110,791885,06/24/2024,4721590.0,93215.76,50.65,166933.0,1162.06,143.65,0.92
320779,795369,06/30/2024,2085310.0,70274.0,29.67,3248.0,75.0,43.31,0.92
200037,793469,06/30/2024,45979325.0,1305207.0,35.23,1997165.0,17411.0,114.71,0.92
440132,819046,06/30/2024,43724191.0,1188534.0,36.79,1586505.0,19866.0,79.86,0.92
521339,797124,06/30/2024,9651588.0,,,1405575.0,12906.14,108.91,0.92
370153,832206,06/30/2024,5583937.0,169557.0,32.93,493386.0,3295.0,149.74,0.92
530037,813549,08/08/2024,3668542.0,120840.0,30.36,1758873.0,13243.03,132.81,0.92
260050,800423,08/12/2024,4373726.0,79880.72,54.75,180561.0,1519.16,118.86,0.92
290061,808349,08/31/2024,34883557.0,959413.36,36.89,1943289.0,27546.48,70.55,0.92
420043,799177,09/30/2024,28233626.0,659917.19,42.92,1503006.0,18182.35,82.66,0.92
420072,797414,09/30/2024,16349589.0,421415.83,38.8,134498.0,1533.0,87.74,0.92
100093,794731,09/30/2024,165447645.0,4988391.02,33.17,707523.0,6938.0,101.98,0.92
100071,799791,09/30/2024,46541296.0,1369256.0,33.99,8316009.0,55725.0,149.23,0.92
250141,798702,09/30/2024,109362569.0,2749146.52,39.85,668065.0,18184.59,36.74,0.92
250138,830770,09/30/2024,44918411.0,1163272.0,38.61,1027903.0,11627.0,88.41,0.92
420038,798488,09/30/2024,40131172.0,882802.47,45.46,1147368.0,13842.0,82.89,0.92
370014,830112,09/30/2024,29150277.0,758643.0,38.42,1586232.0,20712.0,76.59,0.92
190128,800220,09/30/2024,181111156.0,4417518.0,41.0,9437981.0,120919.0,78.05,0.92
420071,823066,09/30/2024,152084939.0,4181712.51,36.37,10637033.0,123115.13,86.4,0.92
340008,798079,09/30/2024,86653562.0,2059974.16,42.07,3344474.0,47822.68,69.93,0.92
010045,798529,09/30/2024,16058820.0,496844.63,31.63,119913.0,2332.5,51.41,0.92
040119,815267,09/30/2024,118926825.0,3110905.77,38.23,2295181.0,32337.0,70.98,0.92
340002,825862,09/30/2024,295262230.0,7506087.0,39.34,18819021.0,331984.0,56.69,0.92
450848,799188,09/30/2024,102108482.0,2211644.68,46.17,286219.0,3203.0,89.36,0.92
100088,799221,09/30/2024,607130527.0,15667308.0,38.76,15378083.0,217815.0,70.6,0.92
340039,798832,09/30/2024,122252120.0,2879977.46,42.45,4047069.0,47401.75,85.38,0.92
420067,798864,09/30/2024,130286390.0,3114939.66,41.83,8832699.0,124458.22,70.97,0.92
100090,800082,09/30/2024,112486011.0,3091750.0,36.38,3910804.0,51417.0,76.06,0.92
050424,798386,09/30/2024,133979924.0,2522252.0,53.12,1793932.0,19089.0,93.98,0.92
190145,800400,09/30/2024,11743566.0,475848.0,24.68,132000.0,4160.0,31.73,0.92
420070,798489,09/30/2024,63986769.0,1684225.73,38.43,2624551.0,31117.0,84.34,0.92
190151,798804,09/30/2024,12762456.0,409394.0,31.17,633833.0,6561.0,96.61,0.92
030083,799047,09/30/2024,40173921.0,945544.0,42.28,1645411.0,39044.0,42.14,0.92
340040,827721,09/30/2024,523266439.0,13181450.0,39.7,40556153.0,512021.0,79.21,0.92
250162,798703,09/30/2024,17429475.0,515887.73,36.98,43734.0,869.5,50.3,0.92
340003,799403,09/30/2024,66263359.0,1684075.99,39.35,1888297.0,19395.26,97.36,0.92
113034,797144,09/30/2024,12959567.0,322763.41,40.15,155770.0,2102.61,74.08,0.92
190118,797873,09/30/2024,13620831.0,460545.0,29.58,659721.0,8961.0,73.62,0.92
250058,798986,09/30/2024,74673639.0,2986776.22,27.11,494960.0,8314.09,59.53,0.92
420107,821457,09/30/2024,24943210.0,561710.13,44.31,556966.0,6698.55,83.15,0.92
420108,808649,09/30/2024,14369585.0,405893.03,35.56,1161256.0,14341.0,80.97,0.92
190054,801036,09/30/2024,49724361.0,1302066.0,38.19,6260724.0,55214.0,113.39,0.92
250044,798699,09/30/2024,9918918.0,316946.63,30.96,2302.0,9.19,250.49,0.92
060034,827188,09/30/2024,152054378.0,3420944.0,44.84,2909091.0,33140.0,87.78,0.92
423033,828869,09/30/2024,16095815.0,426636.35,37.73,160047.0,1860.74,86.01,0.92
