ccn,name,state,beds,fte,taxable_wage_per_hour,benefit_load_per_hour,loaded_staff_cost_per_hour,contract_labor,contract_labor_intensity,operating_margin,estimated_rn_need_fte,npr,total_costs,hcris_confidence,fy_end
030077,SAN CARLOS APACHE HEALTHCARE CORP,AZ,12.0,820.0,9.48079268292683,5.863039399624765e-07,10.206073909474673,,,,221.4,,22963832.0,0.9,01/09/2023
421303,WILLIAMSBURG REGIONAL HOSPITAL,SC,25.0,181.03,7.512625404204148,2.253787621261244,10.341128868887012,,,-0.3836565745673787,48.8781,5422988.0,7503553.0,0.85,01/16/2023
110130,IRWIN COUNTY HOSPITAL,GA,34.0,97.15,7.38469456431371,0.6992755057603229,8.648899204244032,,,-0.5813825997085615,26.230500000000003,1557790.0,2463462.0,0.9,01/31/2023
420068,THE REGIONAL MEDICAL CENTER,SC,251.0,1215.0,15.453916587527699,2.130258388730611,18.76639959520418,2735838.0,0.06546480273636107,0.15323042607960446,328.05,85977807.0,72803391.0,0.92,02/28/2023
250012,ALLIANCE HEALTHCARE SYSTEM,MS,20.0,35.93,11.156937099916505,1.7000203386927575,13.710463126752876,77494.0,0.085036667357986,-0.3208678187401292,9.7011,1421495.0,1877607.0,0.92,03/15/2023
313030,BACHARACH INSTITUTE FOR REHABILITATI,NJ,80.0,52.38,48.507339119452524,14.676917202690397,66.89506776478105,8409.0,0.0015886111186153523,-2.0360728159814228,14.142600000000002,2744837.0,8333525.0,0.92,03/30/2023
370139,PERRY MEMORIAL HOSPITAL,OK,26.0,11.65,43.36571475734566,6.469255529877848,53.152447466160446,79012.0,0.06993140682391467,-1.1169474144307714,3.1455,1308648.0,2770339.0,0.92,03/31/2023
450697,SOUTHWEST GENERAL HOSPITAL,TX,193.0,632.4,22.942814765484357,3.7639608572957717,28.461900952339683,274500.0,0.009013802939878919,0.1838980933393152,170.74800000000002,66113127.0,53955049.0,0.92,04/30/2023
340144,DAVIS REGIONAL MEDICAL CENTER,NC,16.0,20.22,79.94968804686907,5.8145971239443055,91.88043630639886,372032.0,0.09961965701653008,-1.2011223631864876,5.4594000000000005,6250205.0,13757466.0,0.92,05/04/2023
360090,ST. LUKES HOSPITAL,OH,83.0,765.03,19.775607090320243,5.948265980519618,27.236707013249358,,,-0.44955098950853944,206.5581,62879043.0,91146379.0,0.9,05/08/2023
250060,JEFFERSON COUNTY HOSPITAL,MS,12.0,52.54,27.16907996837574,1.811541023688911,31.059055609645394,,,0.10591503154192271,14.1858,4940092.0,4416862.0,0.9,05/31/2023
292008,CARSON TAHOE CONTINUING CARE HOSPITA,NV,29.0,29.08,23.800854406941067,7.14025632208232,32.76187609115438,,,-0.373102161360404,7.8516,2884202.0,3960304.0,0.85,06/11/2023
330163,EASTERN NIAGARA HOSPITAL,NY,109.0,250.1,16.53219289207394,4.048576723156891,21.84548237147449,1536935.0,0.1516146508759791,-0.5518646016506528,67.527,9156862.0,14210210.0,0.92,06/17/2023
370030,BLACKWELL REGIONAL HOSPITAL,OK,34.0,30.28,39.98236015140738,6.657066101005995,49.69807680399604,8421.0,0.0033329296297087874,-0.9915258446553389,8.175600000000001,3523301.0,7016745.0,0.92,06/30/2023
110189,FANNIN REGIONAL HOSPITAL,GA,50.0,61.29,36.897402951918366,6.520223841259083,46.2402781189992,209982.0,0.04273328420619478,-0.20312384203643805,16.5483,12548970.0,15097965.0,0.92,06/30/2023
190204,OCHSNER MEDICAL CENTER -NORTHSHORE,LA,150.0,145.0,37.44588196286472,7.684996684350132,47.995488617374,2144006.0,0.1595517501378958,0.009442268822517697,39.150000000000006,26318145.0,26069642.0,0.92,06/30/2023
500148,WENATCHEE VALLEY HOSPITAL,WA,11.0,367.06,52.00402810900754,9.034245344504566,65.01658160385118,2147847.0,0.05131989452771486,0.3461967457009232,99.1062,146849318.0,96010562.0,0.92,06/30/2023
250163,PATIENTS CHOICE MED CNT-SMITH CNTY,MS,19.0,6.02,36.645476616406846,2.0748945821620244,41.523750159723996,,,-6.625037701325076,1.6254,99466.0,758432.0,0.9,07/02/2023
230096,STURGIS HOSPITAL  INC.,MI,49.0,128.85,23.312998119459124,8.431770693412139,33.52821316900989,961235.0,0.13333254731211955,-0.5185566615906865,34.789500000000004,9749841.0,14805686.0,0.92,07/05/2023
290022,DESERT SPRINGS HOSPITAL MEDICAL CNTR,NV,190.0,130.2,46.7943585312537,16.154023395958884,66.5281503548535,523803.0,0.039692678281091055,-0.08116304348640166,35.153999999999996,30709531.0,33202010.0,0.92,07/11/2023
140167,IROQUOIS MEMORIAL HOSPITAL,IL,25.0,150.9,37.58571965642045,2.969516235917826,43.430543446054436,869301.0,0.06863043865797448,0.03916454906068873,40.743,25392275.0,24397798.0,0.92,07/16/2023
294014,SANA BEHAVIORAL HEALTH LAS VEGAS,NV,19.0,16.17,40.734027876885015,12.220208363065504,56.07038937253222,,,-0.1256082410594928,4.365900000000001,1905289.0,2144609.0,0.85,07/30/2023
504011,CASCADE BEHAVIORAL HEALTH,WA,137.0,221.7,20.447939436521985,6.134381830956595,28.146588634372513,,,-0.3754826745686871,59.859,12486933.0,17175560.0,0.85,07/31/2023
320038,REHOBOTH MCKINLEY CHRISTIAN HOSPITAL,NM,50.0,297.0,21.94397015022015,3.0716346153846152,26.694318482096605,,,0.5971413702820954,80.19000000000001,73520190.0,29618243.0,0.9,08/02/2023
340133,MARTIN GENERAL HOSPITAL,NC,43.0,39.46,43.971999395687945,7.417504093726851,54.75336144318492,,,-0.47055654265465824,10.654200000000001,5260082.0,7735248.0,0.9,08/02/2023
450085,GRAHAM REGIONAL MEDICAL CENTER,TX,25.0,114.31,31.03761784755355,9.980665767178321,43.39266138006972,170160.0,0.02253830657792451,-0.046714289856222044,30.8637,17624607.0,18447928.0,0.92,08/03/2023
040162,SEVIER COUNTY MEDICAL CENTER,AR,15.0,41.97,28.53919237184069,7.280303238577006,38.00274382686351,,,-2.7081891706175445,11.331900000000001,1739065.0,6448782.0,0.9,08/06/2023
140143,ST. MARGARETS HEALTH - SPRING VALLEY,IL,44.0,402.42,38.322133066103916,6.679989907215194,47.93376615287606,3264540.0,0.0923714143841228,0.10384503222005106,108.6534,65739033.0,58912361.0,0.92,08/10/2023
140234,ST. MARGARETS HEALTH - PERU,IL,49.0,205.0,33.97696998123828,5.999941369606003,42.576149554409014,2188208.0,0.13121909178634572,-0.9251957596601327,55.35,17895924.0,34453157.0,0.92,08/10/2023
450578,HEMPHILL COUNTY HOSPITAL,TX,15.0,289.34,15.049369652950217,3.183232662132918,19.383879093533828,135530.0,0.014743300354087233,-0.5454317572606163,78.1218,12701952.0,19630000.0,0.92,08/17/2023
140019,HSHS GOOD SHEPHERD HOSPITAL,IL,30.0,8.46,38.069251227495904,14.052782324058917,55.03433127045826,77812.0,0.10406722401362027,-0.30575582897050496,2.2842000000000002,1610576.0,2103019.0,0.92,08/17/2023
