ccn,lat,lon,health_system,health_system_id,system_confidence
010001,31.140459,-85.409097,Independent / Unknown,independent,0.0
010005,34.196159,-86.196898,Independent / Unknown,independent,0.0
010006,34.825167,-87.659843,Independent / Unknown,independent,0.0
010007,31.277952,-86.255483,Independent / Unknown,independent,0.0
010011,33.615287,-86.645447,Independent / Unknown,independent,0.0
010012,34.476011,-85.790143,Independent / Unknown,independent,0.0
010016,33.221352,-86.787652,Independent / Unknown,independent,0.0
010018,33.509151,-86.801398,Independent / Unknown,independent,0.0
010019,34.758412,-87.696542,Independent / Unknown,independent,0.0
010021,31.467469,-85.61703,Independent / Unknown,independent,0.0
010022,34.128624,-85.566051,Independent / Unknown,independent,0.0
010023,32.271565,-86.21925,Independent / Unknown,independent,0.0
010024,32.353431,-86.256963,Independent / Unknown,independent,0.0
010029,32.702498,-85.385475,Independent / Unknown,independent,0.0
010033,33.509151,-86.801398,Independent / Unknown,independent,0.0
010034,32.546979,-85.942735,Independent / Unknown,independent,0.0
010035,34.236831,-86.730183,Independent / Unknown,independent,0.0
010036,31.177149,-86.551502,Independent / Unknown,independent,0.0
010039,34.724611,-86.565541,Independent / Unknown,independent,0.0
010040,34.025715,-85.845076,Independent / Unknown,independent,0.0
010044,34.163756,-87.993159,Independent / Unknown,independent,0.0
010045,33.670942,-87.822623,Independent / Unknown,independent,0.0
010046,34.047586,-85.933265,Independent / Unknown,independent,0.0
010049,31.307863,-85.858011,Independent / Unknown,independent,0.0
010051,32.931849,-87.938502,Independent / Unknown,independent,0.0
010052,32.804816,-85.768148,Independent / Unknown,independent,0.0
010055,31.29725479411765,-85.54023897058823,Independent / Unknown,independent,0.0
010056,33.495139,-86.808245,Independent / Unknown,independent,0.0
010058,32.930993,-87.127915,Independent / Unknown,independent,0.0
010061,34.78388,-86.102201,Independent / Unknown,independent,0.0
010062,31.056273,-85.894124,Independent / Unknown,independent,0.0
010065,32.916719,-85.940589,Independent / Unknown,independent,0.0
010073,33.226513,-85.856735,Independent / Unknown,independent,0.0
010078,33.684121,-85.705195,Independent / Unknown,independent,0.0
010079,34.773833,-87.084145,Independent / Unknown,independent,0.0
010083,30.381175,-87.72965,Independent / Unknown,independent,0.0
010085,34.605711,-87.008324,Independent / Unknown,independent,0.0
010086,33.920072,-87.77866,Independent / Unknown,independent,0.0
010087,30.715328,-88.094821,Independent / Unknown,independent,0.0
010089,33.97178092682927,-87.65961580487806,Independent / Unknown,independent,0.0
010090,30.681503,-88.300213,Providence,providence,0.85
010091,31.685521,-87.818624,Independent / Unknown,independent,0.0
010092,33.179127,-87.615273,Independent / Unknown,independent,0.0
010095,32.684719,-87.598773,Independent / Unknown,independent,0.0
