ccn,name,city,state,health_system,loaded_staff_cost_per_hr,all_in_agency_per_hr,agency_premium_per_hr,data_source,confidence,category,manual_review_reason
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,Independent / Unknown,69.073295,69.073295,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$46.08, C=$69.07, M=$-22.99). Customer disclosure required before quoting."
010024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,Independent / Unknown,72.606065,72.606065,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$65.64, C=$72.61, M=$-6.97). Customer disclosure required before quoting."
010036,ANDALUSIA HEALTH,ANDALUSIA,AL,Independent / Unknown,63.004175000000004,63.004175000000004,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$58.57, C=$63.00, M=$-4.43). Customer disclosure required before quoting."
010039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,Independent / Unknown,81.12021,81.12021,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$38.15, C=$81.12, M=$-42.97). Customer disclosure required before quoting."
010045,FAYETTE MEDICAL CENTER,FAYETTE,AL,Independent / Unknown,56.33742,56.33742,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$51.41, C=$56.34, M=$-4.93). Customer disclosure required before quoting."
010065,RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,Independent / Unknown,59.145115,59.145115,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$54.91, C=$59.15, M=$-4.24). Customer disclosure required before quoting."
010073,CLAY COUNTY HOSPITAL,ASHLAND,AL,Independent / Unknown,42.337665,42.337665,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$40.06, C=$42.34, M=$-2.28). Customer disclosure required before quoting."
010079,ATHENS LIMESTONE HOSPITAL,ATHENS,AL,Independent / Unknown,67.116855,67.116855,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$65.40, C=$67.12, M=$-1.72). Customer disclosure required before quoting."
010092,DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,Independent / Unknown,66.71341,66.71341,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$58.53, C=$66.71, M=$-8.18). Customer disclosure required before quoting."
010099,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,Independent / Unknown,56.364135000000005,56.364135000000005,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$52.85, C=$56.36, M=$-3.51). Customer disclosure required before quoting."
010108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,Independent / Unknown,66.7951,66.7951,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$32.12, C=$66.80, M=$-34.68). Customer disclosure required before quoting."
010144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,Independent / Unknown,57.4884,57.4884,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$50.41, C=$57.49, M=$-7.08). Customer disclosure required before quoting."
010149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,Independent / Unknown,68.570615,68.570615,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$40.39, C=$68.57, M=$-28.18). Customer disclosure required before quoting."
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,GREENVILLE,AL,Independent / Unknown,52.984195,52.984195,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$40.45, C=$52.98, M=$-12.53). Customer disclosure required before quoting."
010157,NORTH ALABAMA SHOALS HOSPITAL,MUSCLE SHOALS,AL,Independent / Unknown,55.682055,55.682055,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$39.72, C=$55.68, M=$-15.96). Customer disclosure required before quoting."
010164,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,Independent / Unknown,61.116535,61.116535,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$47.47, C=$61.12, M=$-13.65). Customer disclosure required before quoting."
020001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,Providence,77.87344999999999,77.87344999999999,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$70.37, C=$77.87, M=$-7.50). Customer disclosure required before quoting."
020008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,Independent / Unknown,103.301935,103.301935,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$97.93, C=$103.30, M=$-5.37). Customer disclosure required before quoting."
020024,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,Independent / Unknown,107.367965,107.367965,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$102.28, C=$107.37, M=$-5.09). Customer disclosure required before quoting."
030007,VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,Independent / Unknown,79.44191000000001,79.44191000000001,0.0,hcris_nmrc_agency_per_hospital,0.92,agency_rate_below_staff_cost,"Agency premium non-positive (A=$78.52, C=$79.44, M=$-0.92). Customer disclosure required before quoting."
