observation_id,as_of_date,source_type,source_name,source_url_or_file,geography_type,geography,specialty,shift,employment_type,hourly_pay,weekly_pay,scheduled_weekly_hours,estimated_bill_rate_factor,posting_count,confidence_score,confidence_tier,rate_type
e39e51a3-3684-4aaf-be94-41b78f9fe446,01/29/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,230118,rn_contract_labor_dpc,blended,contract,92.84,,,1.0,,0.92,High,agency
e4209927-5ea9-49b6-9f3e-df69bfefe9d7,02/27/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,490001,rn_contract_labor_dpc,blended,contract,100.89,,,1.0,,0.92,High,agency
bffb496a-7529-43ab-b897-3eb0bdd85460,07/31/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,040152,rn_contract_labor_dpc,blended,contract,73.45,,,1.0,,0.92,High,agency
4fcb3332-c58c-45d9-8866-768aa98b7c87,08/09/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,050742,rn_contract_labor_dpc,blended,contract,96.26,,,1.0,,0.92,High,agency
d6afa88a-c762-476b-9c66-c73e05f909fb,09/27/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,030068,rn_contract_labor_dpc,blended,contract,96.71,,,1.0,,0.92,High,agency
ef70d9de-a271-4207-931a-8dce6ab8ff0a,09/30/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,390192,rn_contract_labor_dpc,blended,contract,84.18,,,1.0,,0.92,High,agency
ed76d56d-f900-45ac-862e-be9bd488f4fb,09/30/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,340186,rn_contract_labor_dpc,blended,contract,82.18,,,1.0,,0.92,High,agency
ccfd3c45-1e90-4587-8183-8a6032b8a25d,09/30/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,010038,rn_contract_labor_dpc,blended,contract,96.83,,,1.0,,0.92,High,agency
c565fc27-8028-4b3f-8fe5-14044b2a0e94,12/31/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,050849,rn_contract_labor_dpc,blended,contract,184.12,,,1.0,,0.92,High,agency
358447d0-0f96-49bf-8c9c-680794d7caed,12/31/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,390220,rn_contract_labor_dpc,blended,contract,63.0,,,1.0,,0.92,High,agency
55011915-83f9-4308-b042-84026ffd1018,12/31/2021,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,713027,rn_contract_labor_dpc,blended,contract,54.23,,,1.0,,0.92,High,agency
45b7892c-9a90-4b0e-8398-9657f6f580b7,01/31/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,360192,rn_contract_labor_dpc,blended,contract,35.42,,,1.0,,0.92,High,agency
8056427c-cf84-4ab9-b143-7aca45a666db,01/31/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,390076,rn_contract_labor_dpc,blended,contract,137.34,,,1.0,,0.92,High,agency
762cb37b-01de-44de-9807-b8207a45584f,02/14/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,380040,rn_contract_labor_dpc,blended,contract,107.52,,,1.0,,0.92,High,agency
d626f7fa-e0dc-425d-a2bf-20b2802c0b98,02/28/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,360262,rn_contract_labor_dpc,blended,contract,160.89,,,1.0,,0.92,High,agency
4a9cee69-0db4-47b9-8e4d-038c5ca020bc,02/28/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,360081,rn_contract_labor_dpc,blended,contract,175.78,,,1.0,,0.92,High,agency
64824d9b-1d3d-454f-b64a-b922fe95a336,03/04/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,173027,rn_contract_labor_dpc,blended,contract,77.47,,,1.0,,0.92,High,agency
d09f3de1-d19a-488d-82fc-32d2319a974a,03/31/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,520027,rn_contract_labor_dpc,blended,contract,140.02,,,1.0,,0.92,High,agency
74663c9f-c8a7-428d-81fc-2501e62ffcb7,04/20/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,450187,rn_contract_labor_dpc,blended,contract,153.11,,,1.0,,0.92,High,agency
d92d94c6-d8cc-41bc-a53e-427b3156f9c6,04/25/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,140058,rn_contract_labor_dpc,blended,contract,162.92,,,1.0,,0.92,High,agency
e70d9ef4-db0f-4993-b205-ad70ac99e04c,06/30/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,240063,rn_contract_labor_dpc,blended,contract,101.55,,,1.0,,0.92,High,agency
bdf131c5-39cd-464a-a3f3-049fabe64c68,06/30/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,370229,rn_contract_labor_dpc,blended,contract,66.45,,,1.0,,0.92,High,agency
e921e0e5-f1a5-43c1-a4d5-34c4b9ad8731,07/13/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,040163,rn_contract_labor_dpc,blended,contract,125.0,,,1.0,,0.92,High,agency
60b9ee34-815b-42be-a188-1a198961521e,07/20/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,430013,rn_contract_labor_dpc,blended,contract,141.34,,,1.0,,0.92,High,agency
9a330667-e575-49eb-9080-c00190e41841,07/31/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,240059,rn_contract_labor_dpc,blended,contract,136.66,,,1.0,,0.92,High,agency
c6c7764e-fda8-497d-a22a-cf3f9e7cb2d5,08/31/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,292002,rn_contract_labor_dpc,blended,contract,70.43,,,1.0,,0.92,High,agency
ba17f9a8-9c4e-4974-8d7d-198082916a77,08/31/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,392027,rn_contract_labor_dpc,blended,contract,106.62,,,1.0,,0.92,High,agency
fc5fdb5b-2db7-4928-9968-b567e90124b7,08/31/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,442007,rn_contract_labor_dpc,blended,contract,95.29,,,1.0,,0.92,High,agency
04df3db3-d14f-4d22-9c02-37d5e6d37e69,08/31/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,052050,rn_contract_labor_dpc,blended,contract,78.39,,,1.0,,0.92,High,agency
3ab8ad78-9853-4286-9792-720b086bb1ed,08/31/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,052052,rn_contract_labor_dpc,blended,contract,87.34,,,1.0,,0.92,High,agency
00536288-f198-4362-9d0b-7d1284a87530,08/31/2022,hcris_nmrc,CMS HCRIS Hospital 2552-10 Worksheet S-3 Part II line 01100,https://downloads.cms.gov/Files/hcris/,ccn,322002,rn_contract_labor_dpc,blended,contract,120.64,,,1.0,,0.92,High,agency
