ccn,zip,state,cbsa_code,cbsa_title,taxable_wage_per_hour,wage_source,wage_confidence,source_year
010001,36301,AL,20020,"Dothan, AL",56.85,hcris_blended_x_multiplier,0.7,2025
010005,35957,AL,10700,"Albertville, AL",37.03,bls_oews_state_placeholder,0.4,2025
010006,35630,AL,22520,"Florence-Muscle Shoals, AL",37.03,bls_oews_state_placeholder,0.4,2025
010007,36467,AL,,Rural / Nonmetro,36.93,hcris_blended_x_multiplier,0.7,2025
010011,35235,AL,13820,"Birmingham, AL",37.95,bls_oews_msa,0.9,2025
010012,35968,AL,22840,"Fort Payne, AL",44.44,hcris_blended_x_multiplier,0.7,2025
010016,35007,AL,13820,"Birmingham, AL",37.95,bls_oews_msa,0.9,2025
010018,35233,AL,13820,"Birmingham, AL",37.95,bls_oews_msa,0.9,2025
010019,35660,AL,22520,"Florence-Muscle Shoals, AL",54.03,hcris_blended_x_multiplier,0.7,2025
010021,36360,AL,37120,"Ozark, AL",36.25,hcris_blended_x_multiplier,0.7,2025
010022,35960,AL,,Rural / Nonmetro,37.03,bls_oews_state_placeholder,0.4,2025
010023,36116,AL,33860,"Montgomery, AL",53.33,hcris_blended_x_multiplier,0.7,2025
010024,36106,AL,33860,"Montgomery, AL",60.21,hcris_blended_x_multiplier,0.7,2025
010029,36801,AL,12220,"Auburn-Opelika, AL",51.16,hcris_blended_x_multiplier,0.7,2025
010033,35233,AL,13820,"Birmingham, AL",37.95,bls_oews_msa,0.9,2025
010034,36078,AL,33860,"Montgomery, AL",37.03,bls_oews_state_placeholder,0.4,2025
010035,35058,AL,18980,"Cullman, AL",37.03,bls_oews_state_placeholder,0.4,2025
010036,36420,AL,,Rural / Nonmetro,51.95,hcris_blended_x_multiplier,0.7,2025
010039,35801,AL,26620,"Huntsville, AL",63.14,hcris_blended_x_multiplier,0.7,2025
010040,35903,AL,23460,"Gadsden, AL",44.67,hcris_blended_x_multiplier,0.7,2025
010044,35570,AL,,Rural / Nonmetro,37.03,bls_oews_state_placeholder,0.4,2025
010045,35555,AL,,Rural / Nonmetro,44.28,hcris_blended_x_multiplier,0.7,2025
010046,35901,AL,23460,"Gadsden, AL",44.07,hcris_blended_x_multiplier,0.7,2025
010049,36330,AL,21460,"Enterprise, AL",42.17,hcris_blended_x_multiplier,0.7,2025
010051,35462,AL,46220,"Tuscaloosa, AL",37.03,bls_oews_state_placeholder,0.4,2025
010052,36853,AL,10760,"Alexander City, AL",37.03,bls_oews_state_placeholder,0.4,2025
010055,36302,AL,,,43.32,hcris_blended_x_multiplier,0.7,2025
