series_id,metric,year,period,period_name,value
CES6500000003,healthcare_avg_hourly_earnings,2023,M01,January,32.63
CES6500000003,healthcare_avg_hourly_earnings,2023,M02,February,32.66
CES6500000003,healthcare_avg_hourly_earnings,2023,M03,March,32.84
CES6500000003,healthcare_avg_hourly_earnings,2023,M04,April,32.93
CES6500000003,healthcare_avg_hourly_earnings,2023,M05,May,32.99
CES6500000003,healthcare_avg_hourly_earnings,2023,M06,June,33.1
CES6500000003,healthcare_avg_hourly_earnings,2023,M07,July,33.23
CES6500000003,healthcare_avg_hourly_earnings,2023,M08,August,33.29
CES6500000003,healthcare_avg_hourly_earnings,2023,M09,September,33.44
CES6500000003,healthcare_avg_hourly_earnings,2023,M10,October,33.51
CES6500000003,healthcare_avg_hourly_earnings,2023,M11,November,33.51
CES6500000003,healthcare_avg_hourly_earnings,2023,M12,December,33.56
CES6500000003,healthcare_avg_hourly_earnings,2024,M01,January,33.72
CES6500000003,healthcare_avg_hourly_earnings,2024,M02,February,33.77
CES6500000003,healthcare_avg_hourly_earnings,2024,M03,March,33.93
CES6500000003,healthcare_avg_hourly_earnings,2024,M04,April,34.04
CES6500000003,healthcare_avg_hourly_earnings,2024,M05,May,34.16
CES6500000003,healthcare_avg_hourly_earnings,2024,M06,June,34.32
CES6500000003,healthcare_avg_hourly_earnings,2024,M07,July,34.41
CES6500000003,healthcare_avg_hourly_earnings,2024,M08,August,34.51
CES6500000003,healthcare_avg_hourly_earnings,2024,M09,September,34.66
CES6500000003,healthcare_avg_hourly_earnings,2024,M10,October,34.72
CES6500000003,healthcare_avg_hourly_earnings,2024,M11,November,34.87
CES6500000003,healthcare_avg_hourly_earnings,2024,M12,December,35.01
CES6500000003,healthcare_avg_hourly_earnings,2025,M01,January,35.15
CES6500000003,healthcare_avg_hourly_earnings,2025,M02,February,35.25
CES6500000003,healthcare_avg_hourly_earnings,2025,M03,March,35.34
CES6500000003,healthcare_avg_hourly_earnings,2025,M04,April,35.33
CES6500000003,healthcare_avg_hourly_earnings,2025,M05,May,35.5
CES6500000003,healthcare_avg_hourly_earnings,2025,M06,June,35.49
CES6500000003,healthcare_avg_hourly_earnings,2025,M07,July,35.58
CES6500000003,healthcare_avg_hourly_earnings,2025,M08,August,35.75
CES6500000003,healthcare_avg_hourly_earnings,2025,M09,September,35.69
CES6500000003,healthcare_avg_hourly_earnings,2025,M10,October,35.95
CES6500000003,healthcare_avg_hourly_earnings,2025,M11,November,36.12
CES6500000003,healthcare_avg_hourly_earnings,2025,M12,December,35.95
CES6500000003,healthcare_avg_hourly_earnings,2026,M01,January,36.13
CES6500000003,healthcare_avg_hourly_earnings,2026,M02,February,36.21
CES6500000003,healthcare_avg_hourly_earnings,2026,M03,March,36.18
CES6500000003,healthcare_avg_hourly_earnings,2026,M04,April,36.23
CES6562000001,hospitals_total_employees_thousands,2023,M01,January,21103.6
CES6562000001,hospitals_total_employees_thousands,2023,M02,February,21170.1
CES6562000001,hospitals_total_employees_thousands,2023,M03,March,21240.9
CES6562000001,hospitals_total_employees_thousands,2023,M04,April,21309.4
CES6562000001,hospitals_total_employees_thousands,2023,M05,May,21382.4
CES6562000001,hospitals_total_employees_thousands,2023,M06,June,21464.2
CES6562000001,hospitals_total_employees_thousands,2023,M07,July,21576.6
CES6562000001,hospitals_total_employees_thousands,2023,M08,August,21676.7
CES6562000001,hospitals_total_employees_thousands,2023,M09,September,21761.7
CES6562000001,hospitals_total_employees_thousands,2023,M10,October,21839.2
CES6562000001,hospitals_total_employees_thousands,2023,M11,November,21945.4
CES6562000001,hospitals_total_employees_thousands,2023,M12,December,22018.7
CES6562000001,hospitals_total_employees_thousands,2024,M01,January,22095.6
CES6562000001,hospitals_total_employees_thousands,2024,M02,February,22191.2
CES6562000001,hospitals_total_employees_thousands,2024,M03,March,22276.6
CES6562000001,hospitals_total_employees_thousands,2024,M04,April,22359.2
CES6562000001,hospitals_total_employees_thousands,2024,M05,May,22424.6
CES6562000001,hospitals_total_employees_thousands,2024,M06,June,22493.7
CES6562000001,hospitals_total_employees_thousands,2024,M07,July,22541.9
CES6562000001,hospitals_total_employees_thousands,2024,M08,August,22586.7
CES6562000001,hospitals_total_employees_thousands,2024,M09,September,22673.6
CES6562000001,hospitals_total_employees_thousands,2024,M10,October,22754.8
CES6562000001,hospitals_total_employees_thousands,2024,M11,November,22831.6
CES6562000001,hospitals_total_employees_thousands,2024,M12,December,22901.4
CES6562000001,hospitals_total_employees_thousands,2025,M01,January,22960.4
CES6562000001,hospitals_total_employees_thousands,2025,M02,February,23008.3
CES6562000001,hospitals_total_employees_thousands,2025,M03,March,23076.0
CES6562000001,hospitals_total_employees_thousands,2025,M04,April,23152.0
CES6562000001,hospitals_total_employees_thousands,2025,M05,May,23217.0
CES6562000001,hospitals_total_employees_thousands,2025,M06,June,23277.5
CES6562000001,hospitals_total_employees_thousands,2025,M07,July,23360.1
CES6562000001,hospitals_total_employees_thousands,2025,M08,August,23382.9
CES6562000001,hospitals_total_employees_thousands,2025,M09,September,23438.2
CES6562000001,hospitals_total_employees_thousands,2025,M10,October,23485.8
CES6562000001,hospitals_total_employees_thousands,2025,M11,November,23545.7
CES6562000001,hospitals_total_employees_thousands,2025,M12,December,23587.5
CES6562000001,hospitals_total_employees_thousands,2026,M01,January,23694.4
CES6562000001,hospitals_total_employees_thousands,2026,M02,February,23664.0
CES6562000001,hospitals_total_employees_thousands,2026,M03,March,23754.6
CES6562000001,hospitals_total_employees_thousands,2026,M04,April,23808.5
CES6562320001,nursing_residential_care_employees_thousands,2023,M01,January,624.2
CES6562320001,nursing_residential_care_employees_thousands,2023,M02,February,623.7
CES6562320001,nursing_residential_care_employees_thousands,2023,M03,March,625.0
CES6562320001,nursing_residential_care_employees_thousands,2023,M04,April,627.4
CES6562320001,nursing_residential_care_employees_thousands,2023,M05,May,631.1
CES6562320001,nursing_residential_care_employees_thousands,2023,M06,June,634.7
CES6562320001,nursing_residential_care_employees_thousands,2023,M07,July,637.9
CES6562320001,nursing_residential_care_employees_thousands,2023,M08,August,641.1
CES6562320001,nursing_residential_care_employees_thousands,2023,M09,September,645.2
CES6562320001,nursing_residential_care_employees_thousands,2023,M10,October,646.9
CES6562320001,nursing_residential_care_employees_thousands,2023,M11,November,650.1
CES6562320001,nursing_residential_care_employees_thousands,2023,M12,December,652.6
CES6562320001,nursing_residential_care_employees_thousands,2024,M01,January,654.9
CES6562320001,nursing_residential_care_employees_thousands,2024,M02,February,659.2
CES6562320001,nursing_residential_care_employees_thousands,2024,M03,March,661.7
CES6562320001,nursing_residential_care_employees_thousands,2024,M04,April,664.3
CES6562320001,nursing_residential_care_employees_thousands,2024,M05,May,666.9
CES6562320001,nursing_residential_care_employees_thousands,2024,M06,June,669.0
CES6562320001,nursing_residential_care_employees_thousands,2024,M07,July,669.8
CES6562320001,nursing_residential_care_employees_thousands,2024,M08,August,668.3
CES6562320001,nursing_residential_care_employees_thousands,2024,M09,September,669.1
CES6562320001,nursing_residential_care_employees_thousands,2024,M10,October,672.1
CES6562320001,nursing_residential_care_employees_thousands,2024,M11,November,677.2
CES6562320001,nursing_residential_care_employees_thousands,2024,M12,December,681.8
CES6562320001,nursing_residential_care_employees_thousands,2025,M01,January,681.8
