series_id,metric,year,period,period_name,value
JTS620000000000000HIR,hires_rate,2023,M01,January,3.8
JTS620000000000000HIR,hires_rate,2023,M02,February,3.6
JTS620000000000000HIR,hires_rate,2023,M03,March,3.7
JTS620000000000000HIR,hires_rate,2023,M04,April,3.3
JTS620000000000000HIR,hires_rate,2023,M05,May,4.0
JTS620000000000000HIR,hires_rate,2023,M06,June,3.9
JTS620000000000000HIR,hires_rate,2023,M07,July,3.7
JTS620000000000000HIR,hires_rate,2023,M08,August,3.9
JTS620000000000000HIR,hires_rate,2023,M09,September,3.5
JTS620000000000000HIR,hires_rate,2023,M10,October,3.6
JTS620000000000000HIR,hires_rate,2023,M11,November,3.7
JTS620000000000000HIR,hires_rate,2023,M12,December,3.3
JTS620000000000000HIR,hires_rate,2024,M01,January,3.4
JTS620000000000000HIR,hires_rate,2024,M02,February,3.6
JTS620000000000000HIR,hires_rate,2024,M03,March,3.4
JTS620000000000000HIR,hires_rate,2024,M04,April,3.5
JTS620000000000000HIR,hires_rate,2024,M05,May,3.4
JTS620000000000000HIR,hires_rate,2024,M06,June,3.2
JTS620000000000000HIR,hires_rate,2024,M07,July,3.6
JTS620000000000000HIR,hires_rate,2024,M08,August,3.1
JTS620000000000000HIR,hires_rate,2024,M09,September,3.3
JTS620000000000000HIR,hires_rate,2024,M10,October,3.3
JTS620000000000000HIR,hires_rate,2024,M11,November,3.2
JTS620000000000000HIR,hires_rate,2024,M12,December,3.2
JTS620000000000000HIR,hires_rate,2025,M01,January,3.2
JTS620000000000000HIR,hires_rate,2025,M02,February,3.1
JTS620000000000000HIR,hires_rate,2025,M03,March,3.1
JTS620000000000000HIR,hires_rate,2025,M04,April,3.2
JTS620000000000000HIR,hires_rate,2025,M05,May,2.9
JTS620000000000000HIR,hires_rate,2025,M06,June,3.1
JTS620000000000000HIR,hires_rate,2025,M07,July,3.0
JTS620000000000000HIR,hires_rate,2025,M08,August,3.0
JTS620000000000000HIR,hires_rate,2025,M09,September,3.5
JTS620000000000000HIR,hires_rate,2025,M10,October,3.1
JTS620000000000000HIR,hires_rate,2025,M11,November,2.8
JTS620000000000000HIR,hires_rate,2025,M12,December,3.2
JTS620000000000000HIR,hires_rate,2026,M01,January,3.0
JTS620000000000000HIR,hires_rate,2026,M02,February,2.6
JTS620000000000000HIR,hires_rate,2026,M03,March,2.9
JTS620000000000000HIL,job_openings_level,2023,M01,January,811.0
JTS620000000000000HIL,job_openings_level,2023,M02,February,758.0
JTS620000000000000HIL,job_openings_level,2023,M03,March,791.0
JTS620000000000000HIL,job_openings_level,2023,M04,April,693.0
JTS620000000000000HIL,job_openings_level,2023,M05,May,856.0
JTS620000000000000HIL,job_openings_level,2023,M06,June,846.0
JTS620000000000000HIL,job_openings_level,2023,M07,July,796.0
JTS620000000000000HIL,job_openings_level,2023,M08,August,844.0
JTS620000000000000HIL,job_openings_level,2023,M09,September,764.0
