ccn,name,state,facility_type,health_system_id,health_system
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,HOSPITAL,southeast_health_al,Southeast Health AL
010005,MARSHALL MEDICAL CENTERS,AL,HOSPITAL,independent,Independent / Unknown
010006,NORTH ALABAMA MEDICAL CENTER,AL,HOSPITAL,lifepoint_health,Lifepoint Health
010007,MIZELL MEMORIAL HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010011,ST. VINCENT'S EAST,AL,HOSPITAL,ascension,Ascension
010012,DEKALB REGIONAL MEDICAL CENTER,AL,HOSPITAL,quorum_health,Quorum Health
010016,SHELBY BAPTIST MEDICAL CENTER,AL,HOSPITAL,tenet_healthcare,Tenet Healthcare
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,AL,HOSPITAL,uab_health_system,UAB Health System
010019,HELEN KELLER HOSPITAL,AL,HOSPITAL,huntsville_hospital_health_system,Huntsville Hospital Health System
010021,DALE MEDICAL CENTER,AL,HOSPITAL,independent,Independent / Unknown
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,HOSPITAL,advocate_health,Advocate Health
010023,BAPTIST MEDICAL CENTER SOUTH,AL,HOSPITAL,healthcare_authority_for_baptist_health,Healthcare Authority for Baptist Health
010024,JACKSON HOSPITAL & CLINIC INC,AL,HOSPITAL,independent,Independent / Unknown
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,HOSPITAL,east_alabama_medical_center,East Alabama Medical Center
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,HOSPITAL,uab_health_system,UAB Health System
010034,COMMUNITY HOSPITAL INC,AL,HOSPITAL,independent,Independent / Unknown
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,HOSPITAL,cullman_regional_medical_center,Cullman Regional Medical Center
010036,ANDALUSIA HEALTH,AL,HOSPITAL,scionhealth,ScionHealth
010039,HUNTSVILLE HOSPITAL,AL,HOSPITAL,huntsville_hospital_health_system,Huntsville Hospital Health System
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,HOSPITAL,community_health_systems,Community Health Systems
010044,MARION REGIONAL MEDICAL CENTER,AL,HOSPITAL,north_mississippi_health_services,North Mississippi Health Services
010045,FAYETTE MEDICAL CENTER,AL,HOSPITAL,dch_health_system,DCH Health System
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,HOSPITAL,prime_healthcare,Prime Healthcare
010049,MEDICAL CENTER ENTERPRISE,AL,HOSPITAL,community_health_systems,Community Health Systems
010051,GREENE COUNTY HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010055,FLOWERS HOSPITAL,AL,HOSPITAL,community_health_systems,Community Health Systems
010056,ST VINCENT'S BIRMINGHAM,AL,HOSPITAL,ascension,Ascension
010058,BIBB MEDICAL CENTER,AL,HOSPITAL,independent,Independent / Unknown
010061,HIGHLANDS MEDICAL CENTER,AL,HOSPITAL,huntsville_hospital_health_system,Huntsville Hospital Health System
010062,WIREGRASS MEDICAL CENTER,AL,HOSPITAL,independent,Independent / Unknown
010065,RUSSELL MEDICAL CENTER,AL,HOSPITAL,uab_health_system,UAB Health System
010073,CLAY COUNTY HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,HOSPITAL,independent,Independent / Unknown
010079,ATHENS LIMESTONE HOSPITAL,AL,HOSPITAL,huntsville_hospital_health_system,Huntsville Hospital Health System
010083,BALDWIN HEALTH,AL,HOSPITAL,community_health_systems,Community Health Systems
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,HOSPITAL,huntsville_hospital_health_system,Huntsville Hospital Health System
010086,NORTHWEST MEDICAL CENTER,AL,HOSPITAL,uab_health_system,UAB Health System
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,HOSPITAL,university_of_south_alabama_hospitals,University of South Alabama Hospitals
010089,WALKER BAPTIST MEDICAL CENTER,AL,HOSPITAL,tenet_healthcare,Tenet Healthcare
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,HOSPITAL,university_of_south_alabama_hospitals,University of South Alabama Hospitals
010091,GROVE HILL MEMORIAL HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010092,DCH REGIONAL MEDICAL CENTER,AL,HOSPITAL,dch_health_system,DCH Health System
010095,HALE COUNTY HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010097,ELMORE COMMUNITY HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010100,THOMAS HOSPITAL,AL,HOSPITAL,infirmary_health_system,Infirmary Health System
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,HOSPITAL,tenet_healthcare,Tenet Healthcare
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,HOSPITAL,tenet_healthcare,Tenet Healthcare
010104,GRANDVIEW MEDICAL CENTER,AL,HOSPITAL,community_health_systems,Community Health Systems
010108,PRATTVILLE BAPTIST HOSPITAL,AL,HOSPITAL,healthcare_authority_for_baptist_health,Healthcare Authority for Baptist Health
010110,BULLOCK COUNTY HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010112,WHITFIELD REGIONAL HOSPITAL,AL,HOSPITAL,uab_health_system,UAB Health System
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,HOSPITAL,infirmary_health_system,Infirmary Health System
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,HOSPITAL,uab_health_system,UAB Health System
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,HOSPITAL,scionhealth,ScionHealth
010120,MONROE COUNTY HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010125,LAKELAND COMMUNITY HOSPITAL,AL,HOSPITAL,independent,Independent / Unknown
010126,TROY REGIONAL MEDICAL CENTER,AL,HOSPITAL,independent,Independent / Unknown
010128,JACKSON MEDICAL CENTER,AL,HOSPITAL,independent,Independent / Unknown
010129,NORTH BALDWIN INFIRMARY,AL,HOSPITAL,infirmary_health_system,Infirmary Health System
