ccn,name,state,facility_type,health_system_id,health_system
05C0001831,THE SURGERY CENTER AT NORTHBAY VACA VALLEY,CA,ASC,independent,Independent / Unknown
05C0001873,CARLSBAD SURGERY CENTER LLC,CA,ASC,independent,Independent / Unknown
14C0001134,MIDWEST ENDOSCOPY CENTER LLC,IL,ASC,independent,Independent / Unknown
19C0001115,ADVANCED SURGICAL CARE OF BATON ROUGE LLC,LA,ASC,independent,Independent / Unknown
19C0001088,ENDO CENTER LLC,LA,ASC,independent,Independent / Unknown
36C0001248,WASC LLC DBA WOOSTER AMBULATORY SURGERY CENTER,OH,ASC,independent,Independent / Unknown
36C0001267,NEW ALBANY SURGERY CENTER LLC,OH,ASC,independent,Independent / Unknown
26C0001033,CITY PL SURGERY CENTER,MO,ASC,independent,Independent / Unknown
31C0001270,NORTHERN NJ ENDOSCOPY CENTER LLC,NJ,ASC,independent,Independent / Unknown
46C0001039,MOUNTAIN WEST SURGERY CENTER LLC,UT,ASC,independent,Independent / Unknown
45C0001363,MEMORIAL HERMANN ENDOSCOPY CENTER NORTH LOOP,TX,ASC,independent,Independent / Unknown
05C0001672,NEWPORT PLAZA SURGERY CENTER,CA,ASC,independent,Independent / Unknown
45C0001569,PSA AMBULATORY SURGERY CENTER OF KILLEEN LLC,TX,ASC,independent,Independent / Unknown
22C0001007,CANDESCENT EYE HEALTH SURGICENTER LLC,MA,ASC,independent,Independent / Unknown
36C0001284,CENTRAL OHIO ENDOSCOPY CENTER LLC,OH,ASC,independent,Independent / Unknown
14C0001168,NORTHWEST ENDO CENTER LLC,IL,ASC,independent,Independent / Unknown
24C0001090,PAIN CENTERS OF MINNESOTA CHASKA,MN,ASC,independent,Independent / Unknown
23C0001131,GREAT LAKES SURGERY CTR LLC,MI,ASC,independent,Independent / Unknown
15C0001199,CENTER FOR SOUTHSIDE SURGERY,IN,ASC,independent,Independent / Unknown
03C0001439,DESERT VISTA SURGICAL CENTER,AZ,ASC,independent,Independent / Unknown
15C0001203,NEPHROLOGY PHYSICIANS LLC DBA AZURA SURGERY CENTER MICHIANA VASCULAR,IN,ASC,independent,Independent / Unknown
28C0001065,RIVERVIEW SURGICAL CENTER LLC,NE,ASC,independent,Independent / Unknown
55C0001110,ON BEACH SURGERY CENTER LLC,CA,ASC,independent,Independent / Unknown
05C0002277,BEVERLY HILLS ENDOSURGICAL CENTER LLC,CA,ASC,independent,Independent / Unknown
45C0451283,GULF COAST PROCEDURE CENTER LLC,TX,ASC,independent,Independent / Unknown
11C0001554,EYE CONSULTANTS FAYETTEVILLE SURGERY CENTER,GA,ASC,independent,Independent / Unknown
10C0001725,CYPRESS AMBULATORY SURGERY CENTER LLC DBA CURRENCY CIR SURGERY CENTER,FL,ASC,independent,Independent / Unknown
33C0001208,RENAL FOCUS ASC LLC DBA RENAL FOCUS ASC PLAINVIEW,NY,ASC,independent,Independent / Unknown
23C0001154,LENOX SURGERY CENTER LLC,MI,ASC,independent,Independent / Unknown
45C0451288,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO DBA UT HEALTH KSP ASC,TX,ASC,independent,Independent / Unknown
24C0001043,MINNESOTA EYE INSTITUTE SURGERY CENTER LLC,MN,ASC,independent,Independent / Unknown
16C0001014,LAKEVIEW SURGERY CENTER,IA,ASC,independent,Independent / Unknown
10C0001203,UNIVERSITY SURGERY CENTER LTD,FL,ASC,independent,Independent / Unknown
01C0001039,DOTHAN SURGERY CENTER LLC,AL,ASC,independent,Independent / Unknown
15C0001041,SAGAMORE SURGICAL SERVICES INC,IN,ASC,independent,Independent / Unknown
05C0001366,NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,CA,ASC,independent,Independent / Unknown
19C0001097,SUMMIT SURGERY CENTER LLC,LA,ASC,independent,Independent / Unknown
31C0001203,AMBULATORY CENTER FOR ENDOSCOPY LLC,NJ,ASC,independent,Independent / Unknown
10C0001355,WESTSIDE OUTPATIENT CENTER LLC,FL,ASC,independent,Independent / Unknown
21C0001177,SILVER SPRING OPHTHALMOLOGY LLC,MD,ASC,independent,Independent / Unknown
36C0001024,OHIO EYE ASSOCIATES INC,OH,ASC,independent,Independent / Unknown
34C0001114,SURGERY CENTER OF PINEHURST,NC,ASC,independent,Independent / Unknown
44C0001060,PHYSICIANS SURGERY CENTER OF CHATTANOOGA LLC DBA PHYSICIANS SURGERY CENTER OF CHATTANOOGA,TN,ASC,independent,Independent / Unknown
10C0001250,PINELLAS SURGERY CENTER LTD DBA CENTER FOR SPECIAL SURGERY,FL,ASC,independent,Independent / Unknown
44C0001004,MEMPHIS SURGERY CENTER,TN,ASC,independent,Independent / Unknown
29C0001035,WILDCREEK SURGERY CENTER,NV,ASC,independent,Independent / Unknown
45C0001265,CENTRAL TEXAS ENDOSCOPY CENTER LLC,TX,ASC,independent,Independent / Unknown
18C0001029,LOUISVILLE ENDOSCOPY CENTER,KY,ASC,independent,Independent / Unknown
36C0001084,DIGESTIVE ENDOSCOPY CENTER LLC,OH,ASC,independent,Independent / Unknown
10C0001252,ENDOSCOPY GROUP LLC,FL,ASC,independent,Independent / Unknown
21C0001062,WALDORF ENDOSCOPY CENTER,MD,ASC,independent,Independent / Unknown
28C0001036,OREGON TRAIL EYE SURGERY CENTER,NE,ASC,independent,Independent / Unknown
21C0001450,CROSSROADS PODIATRIC SURGERY CENTER LLC,MD,ASC,independent,Independent / Unknown
06C0001074,VAIL VALLEY SURGERY CENTER LLC DBA VAIL VALLEY SURGERY CENTER VAIL,CO,ASC,independent,Independent / Unknown
05C0001661,PACIFIC HEIGHTS SURGERY CENTER LP,CA,ASC,independent,Independent / Unknown
52C0001074,THE ORTHOPAEDIC SURGERY CENTER LLC,WI,ASC,independent,Independent / Unknown
11C0001203,PIEDMONT EYE,GA,ASC,independent,Independent / Unknown
10C0001196,BAY AREA ENDOSCOPY CENTER LIMITED PARTNERSHIP,FL,ASC,independent,Independent / Unknown
03C0001023,PHOENIX EYE SURGICAL CENTER PLC,AZ,ASC,independent,Independent / Unknown
05C0001186,GASTROENTEROLOGY DIAGNOSTIC CENTER MEDICAL GROUP,CA,ASC,independent,Independent / Unknown
05C0001702,RENAISSANCE SURGERY CENTER LLC,CA,ASC,independent,Independent / Unknown
05C0001813,RENAISSANCE SURGERY CENTER LLC,CA,ASC,independent,Independent / Unknown
05C0001859,TRACY SURGERY CENTER,CA,ASC,independent,Independent / Unknown
06C0001043,FOOT SURGERY CENTER OF NORTHERN COLORADO LLC,CO,ASC,independent,Independent / Unknown
31C0001233,ADVANCED SURGICAL INSTITUTE DBA SOUTH JERSEY MUSCULOSKELETAL INSTITUTE LLC,NJ,ASC,independent,Independent / Unknown
50C0001272,WESTERN WASHINGTON MEDICAL GROUP INC PS DBA GATEWAY SURGERY CENTER,WA,ASC,independent,Independent / Unknown
31C0001262,HARRISON ENDO SURGICAL CENTER LLC,NJ,ASC,independent,Independent / Unknown
11C0001368,NORTH COLUMBUS SURGERY CENTER LLC,GA,ASC,independent,Independent / Unknown
11C0001356,CARLIN VISION SURGERY CENTER LLC,GA,ASC,independent,Independent / Unknown
45C0001384,TUSCAN SURGERY CENTER AT LAS COLINAS,TX,ASC,independent,Independent / Unknown
05C0002015,SOMA SURGERY CENTER,CA,ASC,independent,Independent / Unknown
34C0001180,NOVANT HEALTH MATTHEWS SURGERY CENTER,NC,ASC,independent,Independent / Unknown
10C0001228,MELBOURNE SURGERY CENTER LLC,FL,ASC,independent,Independent / Unknown
11C0001430,CENTER FOR PAIN AND SPINE LLC,GA,ASC,independent,Independent / Unknown
10C0001649,SURGICATH LLC,FL,ASC,independent,Independent / Unknown
21C0001579,GI WELLNESS CENTER OF FREDERICK,MD,ASC,independent,Independent / Unknown
21D2113134,GI WELLNESS CENTER OF FREDERICK LLC,MD,ASC,independent,Independent / Unknown
45C0001597,NORTH PINES SURGERY CENTER LLC,TX,ASC,independent,Independent / Unknown
03C0001432,AKDHC SURGERY CENTER,AZ,ASC,independent,Independent / Unknown
38C0001111,BURNSIDE SURGERY CENTER,OR,ASC,independent,Independent / Unknown
34C0001201,REX SURGERY CENTER OF WAKEFIELD LLC,NC,ASC,independent,Independent / Unknown
34C0001034,ENDOSCOPY CENTER OF NORTH CAROLINA DIGESTIVE HEALTH PARTNERS,NC,ASC,independent,Independent / Unknown
05C0002164,CAMARILLO ENDOSCOPY CENTER LLC,CA,ASC,independent,Independent / Unknown
45C0001618,MUVE LAKEWAY AMBULATORY SURGICAL CENTER,TX,ASC,independent,Independent / Unknown
39C0001349,ADVANCED SURGERY CENTER OF LANCASTER LLC,PA,ASC,independent,Independent / Unknown
18C0001054,EYE SURGERY CENTER OF ELIZABETHTOWN,KY,ASC,independent,Independent / Unknown
03C0001426,BSC BILTMORE LLC,AZ,ASC,independent,Independent / Unknown
31C0001341,ATLANTICARE CENTER FOR ORTHOPEDIC SURGERY,NJ,ASC,independent,Independent / Unknown
21C0001648,CLEARWAY SURGERY CENTER OF WESTMINSTER LLC,MD,ASC,independent,Independent / Unknown
44C0001212,ENCORE SURGICAL INSTITUTE LLC,TN,ASC,independent,Independent / Unknown
11C0001580,ASC OF BAUCOM AND MINA DERM SURGERY JOHNS CREEK LLC,GA,ASC,independent,Independent / Unknown
14C0001198,ARLINGTON HEIGHTS SURGERY CENTER LLC,IL,ASC,independent,Independent / Unknown
31C0001317,NORTH JERSEY ASC ASSOCIATES,NJ,ASC,independent,Independent / Unknown
44C0001216,MURFREESBORO MEDICAL CLINIC PA DBA ENDOSCOPY CENTER OF MURFREESBORO MEDICAL CLINIC,TN,ASC,independent,Independent / Unknown
49C0001030,ROANOKE AMBULATORY SURGERY CENTER LLC,VA,ASC,independent,Independent / Unknown
31C0001195,BLOOMFIELD SURGI CENTER LLC DBA AMBULATORY CENTER OF EXCELLENCE IN SURGERY,NJ,ASC,independent,Independent / Unknown
01C0001037,SOUTH ALABAMA OUTPATIENT SERVICES,AL,ASC,independent,Independent / Unknown
18C0001006,OWENSBORO AMBULATORY SURGICAL FACILITY LTD,KY,ASC,independent,Independent / Unknown
05C0001514,AIRPORT ENDOSCOPY CENTER,CA,ASC,independent,Independent / Unknown
52C0001053,MAYFAIR DIGESTIVE HEALTH CENTER LLC,WI,ASC,independent,Independent / Unknown
28C0001029,POPP COSMETIC SURGERY PC,NE,ASC,independent,Independent / Unknown
11C0001090,AUGUSTA PLASTIC SURGERY CENTER INC,GA,ASC,independent,Independent / Unknown
