health_system_id,health_system,n_facilities,monthly_fee_sum,median_target_fee,median_stretch_fee,median_reference_fee,total_term_savings
adena_health_system,Adena Health System,4,235836.38,1200.86,1200.86,750.0,18847945.05
adventhealth,AdventHealth,38,1609446.11,1367.935,1331.385,841.8050000000001,227203746.07
adventist_health,Adventist Health,22,1379399.8599999999,1725.54,1512.97,1210.84,113233730.89
adventist_healthcare,Adventist Healthcare,4,426412.14999999997,1497.72,1331.3,921.67,10442092.67
advocate_health,Advocate Health,40,2220414.2600000002,1357.49,1253.0700000000002,835.38,158834354.96
alameda_health_system,Alameda Health System,2,205782.55,1884.38,1449.52,1449.52,1124529.4200000002
albany_medical_center,Albany Medical Center,2,1738083.7400000002,1592.8899999999999,1592.8899999999999,980.24,186484575.31
allegheny_health_network,Allegheny Health Network,10,605309.2899999999,1461.7649999999999,1380.915,899.5450000000001,37314807.83
allegiance_health_management,Allegiance Health Management,9,624997.89,1169.53,1169.53,750.0,100166344.00999999
allina_health,Allina Health,8,1169246.4,1426.11,1332.7150000000001,877.61,46711040.92
alomere_health,Alomere Health,1,8816.25,1575.59,1575.59,969.59,471998.18
altru_health_system,Altru Health System,1,97329.16,1836.17,1412.43,1412.43,-992344.05
american_healthcare_systems,American Healthcare Systems,3,42507.840000000004,1193.4,1193.4,750.0,5012439.32
anderson_medical_group,Anderson Medical Group,1,25386.76,1124.78,1124.78,750.0,3669140.39
antelope_valley_medical_center,Antelope Valley Medical Center,1,110447.76,1772.86,1772.86,1227.37,6592869.95
appalachian_regional_healthcare,Appalachian Regional Healthcare,8,227676.75,1142.68,1142.68,750.0,24130204.799999997
archbold_medical_center,Archbold Medical Center,4,180589.55,1288.725,1232.19,793.06,9525555.51
ardent_health,Ardent Health,16,535284.48,1546.66,1342.525,1013.565,31441747.35
armstrong_county_memorial_hospital,Armstrong County Memorial Hospital,1,12314.0,1505.47,1505.47,926.45,775384.77
arnot_health,Arnot Health,1,108158.27,1622.49,1216.87,1123.26,960739.47
asante_health_system,Asante Health System,2,313512.52,1849.81,1972.885,1347.99,35538553.9
ascension,Ascension,86,4170784.75,1231.44,1206.13,757.81,398072542.31
aspirus,Aspirus,14,845631.9,1244.12,1244.12,765.61,63462315.17
astria_health_system,Astria Health System,1,115247.38,1546.94,1546.94,951.97,23118581.19
atlantic_general_health_system,Atlantic General Health System,1,3867.9,1364.95,1364.95,839.97,491646.79
atlantic_health_system,Atlantic Health System,4,408143.74,1673.74,1402.915,1132.4450000000002,10792816.26
