ccn,name,health_system_id,health_system_name,hcris_contract_hours,overlay_per_hour,additional_agency_fee_allocated,overlay_source,overlay_as_of_year
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,kaiser_permanente,Kaiser Permanente,544767.0,17.39,9474269.01,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,kaiser_permanente,Kaiser Permanente,1521649.0,17.39,26463629.34,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,kaiser_permanente,Kaiser Permanente,854507.0,17.39,14861085.91,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,kaiser_permanente,Kaiser Permanente,862544.0,17.39,15000860.72,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,kaiser_permanente,Kaiser Permanente,1692027.0,17.39,29426743.86,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,kaiser_permanente,Kaiser Permanente,911445.65,17.39,15851329.61,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,kaiser_permanente,Kaiser Permanente,640861.0,17.39,11145479.65,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,kaiser_permanente,Kaiser Permanente,1728395.0,17.39,30059234.84,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050139,KAISER FOUNDATION HOSPITAL - DOWNEY,kaiser_permanente,Kaiser Permanente,1179605.0,17.39,20515000.17,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
050140,KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,kaiser_permanente,Kaiser Permanente,2080451.0,17.39,36181986.87,User-disclosed; cross-referenced against AMN Healthcare 10-K filings and Kaiser Permanente Form 990 (KFH Permanente Medical Group reports).,2024
