health_system_id,health_system,n_facilities,states,rn_need,monthly_florence_fee,term_florence_fee,term_net_savings
kaiser_permanente,Kaiser Permanente,35,4,11102.9,18450050.14013982,442801203.36335564,907032519.7047967
sutter_health,Sutter Health,14,1,2749.7999999999997,4718418.496739999,113242043.92176,438751619.59823984
hca,HCA,49,4,4731.0,4567058.261727751,109609398.28146604,664320670.0443124
va,VA,95,43,2850.0,4503952.4004,108094857.60960001,372092798.3904
beth_israel_lahey_health,Beth Israel Lahey Health,4,1,2726.0,3705452.4294971637,88930858.30793194,403938496.69372225
stanford_health,Stanford Health,2,1,1497.2,2909110.2124116914,69818645.0978806,135965229.86885893
university_of_chicago_medicine,University of Chicago Medicine,1,1,2596.3,2819566.2222,67669589.3328,226182552.52319992
rwjbarnabas_health,RWJBarnabas Health,7,2,1545.3999999999999,2071026.1450725992,49704627.48174238,6957433.582604607
banner_health,Banner Health,22,5,1471.5,1748351.1830575797,41960428.393381916,232495779.2866685
ascension,Ascension,42,8,1692.5,1687006.4039094583,40488153.693827,115511773.51293756
